Round,Overall,PickInRound,TeamName,ManagerName,OriginalSlot,Player,Pos,NFLTeam
1,1,1,Straight Outta Rehab,Benjamin,1,David Johnson,RB,ARI
| 1 | 2 | 2 | oGucci United | Erik | 2 | Le'Veon Bell | RB | PIT |
| 1 | 3 | 3 | Every day im Russelln | Simon | 3 | Antonio Brown | WR | PIT |
| 1 | 4 | 4 | oGucci United | Erik | 2 | Ezekiel Elliott | RB | DAL |
| 1 | 5 | 5 | Snatchville Lubricators | marco | 5 | Julio Jones | WR | ATL |
| 1 | 6 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | LeSean McCoy | RB | BUF |
| 1 | 7 | 7 | Promille Boords | Julian | 7 | Melvin Gordon | RB | LAC |
| 1 | 8 | 8 | knockin on Evans door | Tommy | 8 | Odell Beckham | WR | NYG |
| 2 | 9 | 1 | knockin on Evans door | Tommy | 8 | Mike Evans | WR | TB |
| 2 | 10 | 2 | Promille Boords | Julian | 7 | Devonta Freeman | RB | ATL |
| 2 | 11 | 3 | Los Kaltschalenzentrieros | Matthias | 6 | A.J. Green | WR | CIN |
| 2 | 12 | 4 | Snatchville Lubricators | marco | 5 | DeMarco Murray | RB | TEN |
| 2 | 13 | 5 | WhoDatNation | Marvin | 4 | Jay Ajayi | RB | PHI |
| 2 | 14 | 6 | Every day im Russelln | Simon | 3 | Jordan Howard | RB | CHI |
| 2 | 15 | 7 | WhoDatNation | Marvin | 4 | Michael Thomas | WR | NO |
| 2 | 16 | 8 | Straight Outta Rehab | Benjamin | 1 | Jordy Nelson | WR | GB |
| 3 | 17 | 1 | Straight Outta Rehab | Benjamin | 1 | T.Y. Hilton | WR | IND |
| 3 | 18 | 2 | WhoDatNation | Marvin | 4 | Leonard Fournette | RB | JAX |
| 3 | 19 | 3 | Every day im Russelln | Simon | 3 | Dez Bryant | WR | DAL |
| 3 | 20 | 4 | WhoDatNation | Marvin | 4 | Doug Baldwin | WR | SEA |
| 3 | 21 | 5 | Snatchville Lubricators | marco | 5 | Aaron Rodgers | QB | GB |
| 3 | 22 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | Lamar Miller | RB | HOU |
| 3 | 23 | 7 | Promille Boords | Julian | 7 | Marshawn Lynch | RB | LV |
| 3 | 24 | 8 | knockin on Evans door | Tommy | 8 | Todd Gurley | RB | LA |
