Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	Player	Pos	NFLTeam
1	1	1	Snatchville Lubricators	Marco	1	Ezekiel Elliott	RB	DAL
1	2	2	Every day im Russelln	Simon	2	Saquon Barkley	RB	NYG
1	3	3	The Big Tebowski	Tommy	3	Alvin Kamara	RB	NO
1	4	4	WhoDatNation	Marvin	4	Christian McCaffrey	RB	CAR
1	5	5	oG United	Erik	5	David Johnson	RB	ARI
1	6	6	Promille Boords	Julian	6	DeAndre Hopkins	WR	HOU
1	7	7	Suffering Bastards	Matthias	7	Le'Veon Bell	RB	NYJ
1	8	8	Straight Into Rehab	Benjamin	8	Davante Adams	WR	GB
2	9	1	Straight Into Rehab	Benjamin	1	James Conner	RB	PIT
2	10	2	Suffering Bastards	Matthias	2	Melvin Gordon	RB	LAC
2	11	3	Promille Boords	Julian	3	Todd Gurley	RB	LA
2	12	4	oG United	Erik	4	Odell Beckham	WR	CLE
2	13	5	WhoDatNation	Marvin	5	Travis Kelce	TE	KC
2	14	6	The Big Tebowski	Tommy	6	Michael Thomas	WR	NO
2	15	7	Every day im Russelln	Simon	7	Tyreek Hill	WR	KC
2	16	8	Snatchville Lubricators	Marco	8	Joe Mixon	RB	CIN
3	17	1	Snatchville Lubricators	Marco	1	Antonio Brown	WR	
3	18	2	Every day im Russelln	Simon	2	JuJu Smith-Schuster	WR	PIT
3	19	3	The Big Tebowski	Tommy	3	Julio Jones	WR	ATL
3	20	4	WhoDatNation	Marvin	4	Mike Evans	WR	TB
3	21	5	oG United	Erik	5	Keenan Allen	WR	LAC
3	22	6	Promille Boords	Julian	6	Damien Williams	RB	KC
3	23	7	Suffering Bastards	Matthias	7	Nick Chubb	RB	CLE
3	24	8	Straight Into Rehab	Benjamin	8	Dalvin Cook	RB	MIN
4	25	1	Straight Into Rehab	Benjamin	1	T.Y. Hilton	WR	IND
4	26	2	Suffering Bastards	Matthias	2	Amari Cooper	WR	DAL
4	27	3	Promille Boords	Julian	3	Leonard Fournette	RB	JAX
4	28	4	oG United	Erik	4	Aaron Jones	RB	GB
4	29	5	WhoDatNation	Marvin	5	Marlon Mack	RB	IND
4	30	6	The Big Tebowski	Tommy	6	Patrick Mahomes	QB	KC
4	31	7	Every day im Russelln	Simon	7	Adam Thielen	WR	MIN
4	32	8	Snatchville Lubricators	Marco	8	Andrew Luck	QB	
