TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Last Wurst Standing,1,13-1-0,"1,675.46","1,425.76",3,Ritz,29,0,5
Straight Outta Rehab,2,10-4-0,"1,709.76","1,416.24",4,Benni,48,2,3
Promille Boords,3,9-5-0,"1,591.48","1,486.98",2,Juschka,18,0,7
Teenage Mutant Ninja Bortles,4,8-6-0,"1,532.66","1,455.60",1,Tommy,32,2,1
WhoDatNation,5,7-7-0,"1,305.08","1,461.34",6,Marv,22,1,8
oG United,6,5-9-0,"1,551.10","1,589.32",5,Erik,22,0,4
Every day im Russelln,7,4-10-0,"1,333.46","1,514.84",8,Simi,27,0,6
Snatchville Lubricators,8,0-14-0,"1,209.10","1,558.02",7,Kessi,14,1,2


